price,year,manufacturer,odometer,condition,fuel,transmission,drive,type,state,paint_color
54999,2019.0,gmc,47600.0,unknown,gas,automatic,4wd,truck,id,brown
33500,2017.0,dodge,22213.0,unknown,gas,automatic,unknown,unknown,hi,unknown
22999,2007.0,ram,207000.0,unknown,diesel,manual,unknown,unknown,tx,unknown
23500,2015.0,mercedes-benz,53715.0,excellent,gas,automatic,4wd,sedan,wi,white
31495,2019.0,infiniti,27541.0,unknown,gas,automatic,unknown,unknown,nj,unknown
11998,2011.0,buick,101999.0,unknown,gas,automatic,unknown,unknown,wa,brown
6999,2012.0,nissan,62102.0,good,electric,automatic,fwd,hatchback,ak,black
11400,2008.0,toyota,188983.0,excellent,gas,automatic,rwd,truck,fl,blue
7900,2013.0,chevrolet,106216.0,unknown,hybrid,automatic,unknown,unknown,oh,unknown
53900,2016.0,gmc,95000.0,excellent,diesel,automatic,4wd,truck,va,red
3500,2011.0,chevrolet,142254.0,good,gas,automatic,fwd,sedan,il,blue
3150,2005.0,ford,270000.0,unknown,gas,automatic,unknown,unknown,ca,unknown
11950,2010.0,ford,252140.0,good,gas,automatic,4wd,truck,al,white
29997,2017.0,infiniti,13503.0,excellent,gas,automatic,4wd,SUV,ny,red
24995,2015.0,dodge,34893.0,unknown,gas,automatic,4wd,SUV,ia,grey
8700,2009.0,lexus,207798.0,unknown,other,automatic,unknown,unknown,tx,unknown
7999,2014.0,nissan,65058.0,good,gas,other,fwd,sedan,wa,black
13785,2010.0,gmc,147002.0,unknown,gas,automatic,rwd,SUV,tn,custom
34788,2019.0,ford,27999.0,good,gas,automatic,rwd,van,tx,white
9995,2015.0,fiat,63620.0,unknown,gas,automatic,fwd,hatchback,co,custom
6900,2015.0,nissan,120000.0,unknown,gas,automatic,unknown,unknown,fl,unknown
38999,2017.0,toyota,40560.0,unknown,gas,automatic,4wd,truck,or,blue
27590,2018.0,bmw,20845.0,good,other,other,unknown,sedan,ky,blue
7995,2004.0,lincoln,128386.0,excellent,gas,automatic,4wd,SUV,nj,unknown
37651,2020.0,bmw,10610.0,unknown,gas,automatic,4wd,SUV,id,unknown
6995,2008.0,ford,165072.0,unknown,gas,automatic,unknown,unknown,ma,unknown
55988,2020.0,chevrolet,30096.0,unknown,gas,automatic,4wd,unknown,mn,black
51995,2019.0,infiniti,18537.0,unknown,gas,automatic,unknown,unknown,nj,unknown
13800,2009.0,ram,254427.0,excellent,gas,automatic,4wd,pickup,in,unknown
6995,2013.0,chevrolet,123203.0,unknown,gas,automatic,unknown,unknown,mi,unknown
22500,2009.0,chevrolet,78274.0,unknown,gas,automatic,4wd,truck,or,unknown
50309,2020.0,mercedes-benz,33.0,unknown,diesel,automatic,rwd,van,ca,unknown
22972,2016.0,audi,67614.0,unknown,gas,automatic,unknown,other,pa,silver
2995,2008.0,pontiac,157254.0,unknown,gas,manual,unknown,unknown,mi,unknown
31990,2019.0,volvo,25209.0,good,other,other,fwd,other,tx,red
23995,2014.0,ford,109000.0,excellent,gas,automatic,4wd,pickup,ma,white
5200,2014.0,ford,80000.0,unknown,gas,automatic,unknown,unknown,tx,unknown
16095,2014.0,bmw,81731.0,unknown,gas,automatic,rwd,sedan,tn,grey
41900,2018.0,gmc,22290.0,unknown,gas,automatic,unknown,SUV,id,black
17872,2014.0,bmw,78313.0,unknown,diesel,automatic,rwd,sedan,nc,black
16990,2016.0,kia,17631.0,good,gas,other,fwd,coupe,nc,unknown
15960,2014.0,gmc,99152.0,unknown,gas,automatic,fwd,SUV,mi,unknown
10995,2011.0,subaru,126269.0,unknown,gas,automatic,4wd,SUV,co,grey
30990,2019.0,hyundai,16360.0,good,other,other,unknown,SUV,nm,red
10991,2012.0,subaru,65000.0,excellent,gas,automatic,4wd,sedan,fl,blue
25990,2018.0,bmw,16921.0,good,diesel,other,rwd,sedan,co,black
30863,2015.0,gmc,75817.0,unknown,gas,automatic,rwd,pickup,ca,black
59724,2017.0,ram,40846.0,unknown,diesel,automatic,4wd,truck,ut,white
35900,2014.0,toyota,28229.0,unknown,gas,automatic,fwd,unknown,mt,white
30995,2014.0,toyota,142905.0,excellent,gas,automatic,4wd,pickup,ca,unknown
17590,2013.0,mini,20181.0,good,other,other,fwd,hatchback,fl,red
5950,2006.0,jeep,166900.0,unknown,gas,automatic,4wd,SUV,wi,black
24415,2016.0,mazda,12525.0,unknown,gas,automatic,rwd,convertible,mo,unknown
30398,2020.0,honda,3700.0,unknown,gas,automatic,fwd,SUV,ca,silver
32991,2015.0,ford,90297.0,unknown,gas,automatic,4wd,pickup,tx,custom
4300,2007.0,honda,155335.0,unknown,gas,automatic,fwd,mini-van,md,silver
7495,2009.0,nissan,138912.0,unknown,gas,automatic,fwd,sedan,or,custom
10999,2010.0,lexus,119968.0,excellent,gas,automatic,fwd,sedan,sc,white
10900,2016.0,ford,86167.0,good,gas,automatic,fwd,hatchback,wi,silver
4300,2011.0,hyundai,228000.0,good,gas,automatic,fwd,SUV,mi,silver
7900,2005.0,dodge,141514.0,unknown,gas,automatic,4wd,pickup,ak,white
10999,2013.0,cadillac,115000.0,excellent,gas,automatic,fwd,sedan,ia,black
11980,2013.0,nissan,96810.0,unknown,gas,automatic,fwd,sedan,wa,black
17795,2012.0,mercedes-benz,46729.0,unknown,gas,automatic,4wd,SUV,la,unknown
37990,2020.0,cadillac,1366.0,good,gas,other,unknown,hatchback,in,white
3350,2002.0,ford,135793.0,unknown,gas,automatic,unknown,unknown,tx,unknown
26990,2018.0,volkswagen,18794.0,good,gas,other,fwd,convertible,wi,unknown
41550,2019.0,chevrolet,32123.0,unknown,gas,automatic,unknown,convertible,co,unknown
36850,2015.0,bmw,39394.0,good,gas,automatic,unknown,SUV,wa,unknown
9999,2016.0,hyundai,112704.0,unknown,gas,automatic,fwd,sedan,md,white
20590,2020.0,mitsubishi,31332.0,good,gas,other,4wd,SUV,ca,white
43590,2020.0,nissan,8949.0,good,gas,other,rwd,coupe,tx,white
32995,2013.0,ford,111544.0,unknown,gas,automatic,unknown,unknown,il,unknown
34990,2016.0,toyota,19938.0,good,gas,other,4wd,other,pa,unknown
6900,2009.0,ford,38600.0,unknown,gas,automatic,unknown,unknown,de,unknown
36590,2019.0,chevrolet,7619.0,good,gas,other,unknown,pickup,wv,white
20000,2009.0,ram,149000.0,excellent,gas,automatic,4wd,pickup,co,white
4000,2006.0,toyota,216000.0,good,gas,automatic,4wd,SUV,pa,brown
34590,2017.0,toyota,20097.0,good,gas,other,4wd,pickup,md,unknown
4495,2008.0,ford,164000.0,excellent,gas,automatic,4wd,SUV,ma,grey
54550,2013.0,ford,58220.0,unknown,diesel,automatic,4wd,pickup,ca,black
3600,2006.0,honda,116000.0,good,gas,automatic,unknown,unknown,ny,unknown
12897,2016.0,kia,71985.0,unknown,gas,other,fwd,sedan,al,grey
26000,2016.0,lexus,60000.0,excellent,gas,automatic,rwd,coupe,ca,orange
6900,2010.0,mazda,141000.0,unknown,gas,automatic,unknown,unknown,or,unknown
17990,2013.0,honda,92280.0,good,gas,other,fwd,sedan,tx,silver
4000,2010.0,dodge,103000.0,excellent,gas,automatic,unknown,unknown,il,unknown
14337,2017.0,ford,95694.0,unknown,gas,automatic,fwd,sedan,co,unknown
8200,2011.0,ford,286000.0,good,gas,automatic,4wd,offroad,ms,white
22590,2017.0,ram,39508.0,good,gas,other,unknown,pickup,va,white
48999,2019.0,ford,83075.0,excellent,diesel,automatic,4wd,truck,ca,unknown
6500,2007.0,chevrolet,220000.0,unknown,diesel,automatic,unknown,unknown,fl,black
7500,2010.0,volkswagen,119757.0,good,gas,automatic,fwd,mini-van,tx,silver
760,2020.0,rover,15873.0,unknown,gas,automatic,4wd,SUV,or,unknown
27990,2017.0,rover,24747.0,good,gas,other,4wd,SUV,fl,black
3900,2009.0,nissan,199000.0,excellent,gas,automatic,4wd,SUV,oh,black
16900,2014.0,chevrolet,40309.0,good,gas,automatic,rwd,convertible,fl,yellow
8000,2015.0,kia,45000.0,good,gas,automatic,fwd,sedan,sc,white
3995,1998.0,toyota,180246.0,unknown,gas,automatic,4wd,SUV,il,white
2000,1994.0,pontiac,170000.0,unknown,gas,automatic,unknown,coupe,il,unknown
5200,2008.0,mitsubishi,163970.0,good,gas,manual,fwd,coupe,fl,blue
10880,2014.0,toyota,101335.0,unknown,gas,automatic,unknown,sedan,wa,unknown
39800,2005.0,ram,27741.0,excellent,diesel,automatic,4wd,unknown,il,unknown
25900,2007.0,bmw,61000.0,excellent,gas,automatic,rwd,convertible,ca,silver
12900,2014.0,dodge,49210.0,unknown,gas,automatic,fwd,SUV,tx,unknown
10000,2011.0,toyota,80000.0,excellent,gas,automatic,unknown,unknown,ak,unknown
30763,2017.0,chevrolet,1.0,unknown,gas,automatic,unknown,unknown,nc,unknown
2800,1993.0,cadillac,112000.0,excellent,gas,automatic,fwd,sedan,mn,grey
38990,2019.0,tesla,7609.0,good,electric,other,rwd,sedan,pa,unknown
10900,2000.0,lexus,223915.0,excellent,gas,automatic,4wd,SUV,sd,white
45995,2019.0,chevrolet,15768.0,like new,gas,automatic,4wd,unknown,wa,unknown
20000,2012.0,gmc,95685.0,unknown,gas,automatic,4wd,SUV,id,silver
7000,2002.0,ford,115000.0,good,gas,automatic,unknown,van,ny,custom
31995,2016.0,toyota,66000.0,excellent,gas,automatic,unknown,unknown,tx,unknown
4500,2005.0,mercedes-benz,154000.0,good,gas,automatic,4wd,SUV,pa,custom
16991,2018.0,kia,19010.0,unknown,gas,automatic,fwd,sedan,ak,white
29990,2018.0,audi,23559.0,good,gas,other,unknown,sedan,wi,silver
20000,2014.0,mercedes-benz,56505.0,good,gas,automatic,fwd,sedan,tn,grey
26990,2018.0,bmw,28987.0,good,gas,other,rwd,coupe,ny,black
11995,2000.0,lexus,230155.0,unknown,gas,automatic,4wd,wagon,ca,white
37999,2020.0,chevrolet,22383.0,unknown,gas,automatic,4wd,truck,or,blue
41995,2017.0,chevrolet,68570.0,unknown,other,automatic,4wd,pickup,tx,blue
33590,2014.0,toyota,55251.0,good,other,other,unknown,pickup,nj,red
3000,2004.0,honda,126678.0,good,gas,automatic,unknown,unknown,fl,unknown
8777,2012.0,ford,49229.0,unknown,gas,automatic,unknown,sedan,oh,black
15900,2018.0,dodge,120156.0,excellent,gas,automatic,fwd,mini-van,fl,white
38590,2017.0,nissan,26539.0,good,gas,other,unknown,pickup,ny,black
2700,2004.0,subaru,295000.0,good,gas,automatic,4wd,wagon,or,green
4200,2007.0,ford,134000.0,good,gas,manual,4wd,SUV,ny,silver
24989,2017.0,ford,56690.0,unknown,gas,automatic,4wd,SUV,oh,brown
21583,2016.0,ford,120312.0,excellent,gas,automatic,rwd,unknown,tn,yellow
9900,2011.0,chevrolet,74968.0,good,gas,automatic,fwd,sedan,mo,silver
33990,2005.0,ram,106988.0,unknown,diesel,automatic,4wd,pickup,or,unknown
45990,2020.0,toyota,2277.0,good,gas,other,unknown,pickup,ok,unknown
4650,2005.0,subaru,131795.0,excellent,gas,automatic,4wd,wagon,pa,blue
8800,2013.0,chrysler,114000.0,excellent,gas,automatic,unknown,unknown,nv,unknown
6995,2002.0,chevrolet,263579.0,excellent,gas,automatic,4wd,unknown,tx,unknown
13999,2002.0,lexus,181500.0,good,gas,automatic,4wd,SUV,ca,grey
4999,2002.0,buick,53000.0,excellent,gas,automatic,unknown,sedan,ca,unknown
24695,2015.0,ram,78248.0,unknown,gas,automatic,unknown,other,nj,white
24995,2018.0,mazda,40245.0,unknown,gas,automatic,fwd,unknown,tn,blue
15800,2018.0,toyota,65230.0,excellent,gas,automatic,fwd,sedan,tx,silver
14700,2001.0,dodge,191000.0,unknown,diesel,automatic,unknown,unknown,tx,unknown
69999,2018.0,ford,30115.0,unknown,diesel,automatic,4wd,truck,id,red
10987,2010.0,chevrolet,89678.0,good,gas,automatic,unknown,other,nc,red
8997,2010.0,volkswagen,92171.0,excellent,diesel,automatic,fwd,wagon,id,silver
6981,2003.0,chevrolet,179886.0,excellent,gas,automatic,4wd,unknown,nc,unknown
15500,2008.0,ford,70577.0,excellent,gas,automatic,4wd,pickup,nj,black
4200,2008.0,honda,217300.0,unknown,gas,manual,fwd,hatchback,tn,black
8995,2006.0,gmc,114494.0,unknown,gas,automatic,4wd,pickup,pa,red
21069,2019.0,nissan,14446.0,good,other,automatic,fwd,sedan,co,silver
17950,2010.0,jeep,120497.0,unknown,gas,automatic,unknown,other,ks,red
34999,2011.0,ford,175493.0,unknown,diesel,automatic,4wd,pickup,fl,white
4900,2006.0,subaru,201125.0,unknown,gas,automatic,4wd,unknown,mn,unknown
19995,2012.0,jeep,113659.0,unknown,gas,manual,4wd,SUV,tn,silver
32590,2016.0,mercedes-benz,39214.0,unknown,gas,automatic,4wd,SUV,co,black
26999,2018.0,nissan,35937.0,unknown,gas,automatic,4wd,SUV,wa,black
50700,2020.0,lincoln,10901.0,good,other,automatic,unknown,other,fl,unknown
8990,2016.0,ford,114718.0,excellent,gas,automatic,unknown,sedan,fl,red
5900,2002.0,ford,275000.0,unknown,gas,automatic,unknown,unknown,ks,unknown
11974,2016.0,nissan,42531.0,unknown,electric,automatic,fwd,hatchback,ar,unknown
4999,2006.0,chevrolet,120841.0,unknown,gas,other,fwd,SUV,oh,white
24999,2018.0,chevrolet,16865.0,unknown,gas,manual,rwd,coupe,wa,black
5995,2012.0,ford,134000.0,unknown,gas,automatic,fwd,sedan,ia,blue
9900,2012.0,honda,149.0,excellent,gas,manual,fwd,coupe,nc,red
3500,2002.0,volkswagen,159000.0,good,gas,automatic,fwd,sedan,ga,silver
15590,2017.0,volkswagen,25281.0,good,other,automatic,fwd,sedan,mi,blue
7950,2008.0,mazda,116000.0,excellent,gas,automatic,4wd,SUV,ny,silver
79987,2021.0,gmc,6947.0,good,diesel,automatic,unknown,pickup,nc,white
38990,2017.0,jeep,20676.0,good,gas,other,4wd,other,wi,red
36000,2013.0,ram,84182.0,excellent,diesel,automatic,4wd,pickup,ok,white
2995,2011.0,ford,185787.0,excellent,gas,automatic,unknown,truck,fl,white
69900,2017.0,ford,60997.0,excellent,diesel,automatic,4wd,pickup,tx,white
2495,2005.0,nissan,136355.0,fair,gas,automatic,fwd,sedan,pa,green
5300,2008.0,bmw,314721.0,unknown,gas,automatic,unknown,unknown,mi,white
29997,2014.0,porsche,73603.0,unknown,gas,automatic,4wd,SUV,or,unknown
24995,2012.0,mercedes-benz,69847.0,good,gas,automatic,4wd,sedan,id,blue
6995,2008.0,dodge,77880.0,excellent,gas,automatic,fwd,hatchback,ia,custom
5290,2003.0,ford,140782.0,excellent,gas,manual,unknown,pickup,fl,white
4800,2006.0,toyota,260000.0,good,gas,automatic,4wd,SUV,nc,green
6000,2010.0,honda,173210.0,excellent,gas,manual,fwd,hatchback,or,white
33999,2015.0,chevrolet,119876.0,unknown,gas,automatic,4wd,truck,mt,black
12995,2005.0,chevrolet,156900.0,unknown,gas,automatic,4wd,pickup,id,white
20590,2015.0,volkswagen,43470.0,good,gas,automatic,fwd,convertible,wi,black
2800,2005.0,gmc,166399.0,good,gas,automatic,4wd,SUV,oh,black
3300,2008.0,honda,1.0,unknown,gas,manual,unknown,sedan,wi,unknown
39990,2015.0,gmc,111710.0,unknown,other,automatic,4wd,pickup,me,black
6495,2014.0,ford,81073.0,good,gas,automatic,fwd,sedan,oh,white
18995,2012.0,ford,101092.0,unknown,gas,automatic,fwd,SUV,ak,black
21831,2016.0,audi,38561.0,unknown,hybrid,automatic,fwd,hatchback,ar,black
11495,2013.0,subaru,139112.0,unknown,gas,automatic,unknown,unknown,mn,unknown
6975,2013.0,kia,138345.0,unknown,gas,automatic,unknown,unknown,nh,unknown
36990,2018.0,jeep,5933.0,good,other,other,4wd,other,ct,unknown
17995,2016.0,kia,29457.0,unknown,gas,automatic,fwd,sedan,id,silver
11999,2015.0,volkswagen,103090.0,excellent,gas,automatic,fwd,sedan,fl,black
3450,2004.0,toyota,220139.0,excellent,gas,automatic,fwd,mini-van,va,blue
5995,2005.0,volkswagen,96000.0,unknown,gas,manual,unknown,hatchback,id,blue
22500,2009.0,bmw,63500.0,excellent,gas,manual,rwd,convertible,fl,red
19830,2019.0,chevrolet,24494.0,unknown,gas,automatic,fwd,unknown,ar,unknown
24553,2015.0,gmc,78896.0,unknown,gas,automatic,unknown,unknown,mo,unknown
3500,2007.0,jeep,219927.0,unknown,gas,automatic,4wd,SUV,mn,brown
31590,2017.0,jeep,30577.0,good,gas,other,4wd,other,sc,unknown
6000,2005.0,subaru,200000.0,excellent,gas,manual,4wd,unknown,tn,silver
18900,2019.0,nissan,47421.0,good,gas,automatic,fwd,sedan,ms,grey
4200,2013.0,dodge,154000.0,like new,gas,automatic,fwd,unknown,ca,silver
26423,2016.0,acura,75386.0,excellent,gas,automatic,unknown,sedan,nc,silver
2250,2005.0,ford,200000.0,excellent,gas,automatic,rwd,mini-van,wi,red
2900,2016.0,chevrolet,97809.0,unknown,gas,automatic,unknown,unknown,tn,unknown
13770,2016.0,hyundai,65015.0,unknown,gas,automatic,fwd,sedan,nj,black
59999,2016.0,gmc,88339.0,excellent,diesel,automatic,4wd,pickup,wa,blue
37549,2018.0,ram,59124.0,unknown,gas,automatic,4wd,pickup,il,black
9950,2012.0,audi,118219.0,unknown,gas,automatic,unknown,unknown,wi,unknown
5990,2010.0,toyota,111629.0,excellent,gas,manual,fwd,hatchback,or,red
8495,2012.0,hyundai,145818.0,unknown,gas,automatic,unknown,sedan,oh,blue
16500,2014.0,ford,71329.0,excellent,gas,automatic,fwd,unknown,ca,white
33990,2020.0,cadillac,9167.0,good,gas,other,unknown,hatchback,ca,black
34988,2013.0,rover,122998.0,excellent,gas,automatic,4wd,SUV,ca,unknown
31995,2016.0,ford,53427.0,unknown,gas,automatic,4wd,pickup,ak,unknown
7450,2007.0,toyota,95000.0,good,gas,automatic,rwd,SUV,ca,silver
4950,2001.0,ford,93000.0,excellent,gas,automatic,fwd,unknown,oh,unknown
14495,2010.0,infiniti,138059.0,unknown,gas,automatic,4wd,wagon,ct,black
21590,2016.0,ram,35391.0,good,gas,other,unknown,pickup,oh,black
30990,2018.0,audi,41091.0,good,gas,other,unknown,other,wi,red
6995,2007.0,gmc,204306.0,unknown,gas,automatic,unknown,unknown,mi,unknown
25995,2013.0,ford,110248.0,unknown,gas,automatic,4wd,pickup,ak,red
38999,2017.0,ford,43876.0,unknown,gas,automatic,4wd,truck,or,black
39590,2018.0,mercedes-benz,42300.0,good,other,other,rwd,convertible,tn,unknown
5995,2009.0,lincoln,138928.0,unknown,gas,automatic,unknown,unknown,mi,unknown
9499,2012.0,chevrolet,122827.0,good,gas,automatic,4wd,SUV,or,black
26962,2015.0,jeep,97960.0,unknown,gas,other,4wd,SUV,ak,red
4250,2004.0,nissan,173000.0,good,gas,automatic,4wd,truck,ny,black
4200,2009.0,honda,182000.0,good,gas,automatic,fwd,unknown,il,unknown
23995,2013.0,chevrolet,50798.0,excellent,gas,automatic,4wd,pickup,ma,silver
33590,2020.0,chevrolet,15591.0,good,other,other,4wd,pickup,mo,white
4000,2005.0,mercury,112289.0,excellent,gas,automatic,fwd,sedan,ny,brown
7900,2009.0,acura,165342.0,excellent,gas,automatic,4wd,SUV,in,grey
37590,2012.0,chevrolet,30323.0,good,other,other,rwd,coupe,md,black
4500,2007.0,mitsubishi,142000.0,good,gas,automatic,fwd,convertible,il,blue
8950,2009.0,infiniti,180000.0,good,gas,automatic,4wd,SUV,ks,white
11900,2009.0,nissan,189000.0,good,gas,automatic,rwd,pickup,ca,black
3200,2001.0,chevrolet,89000.0,unknown,gas,automatic,unknown,unknown,tx,unknown
33590,2019.0,ford,7576.0,good,gas,other,unknown,pickup,ny,white
1500,2004.0,mercedes-benz,123770.0,unknown,gas,automatic,unknown,unknown,ma,unknown
35990,2018.0,audi,29157.0,good,gas,other,unknown,wagon,ny,black
32990,2014.0,bmw,40405.0,good,gas,other,rwd,other,ca,white
7990,2013.0,honda,172611.0,good,gas,automatic,unknown,unknown,va,grey
33990,2012.0,mercedes-benz,88107.0,good,gas,automatic,rwd,sedan,la,white
27500,2017.0,ford,170037.0,good,gas,automatic,4wd,truck,ny,custom
34590,2017.0,toyota,20097.0,good,gas,other,4wd,pickup,tx,unknown
14990,2012.0,ford,67820.0,good,gas,automatic,rwd,truck,wi,white
35495,2015.0,chevrolet,69109.0,unknown,gas,automatic,unknown,unknown,il,unknown
29590,2017.0,lincoln,35320.0,good,gas,other,unknown,sedan,ga,black
9900,2014.0,ford,0.0,excellent,gas,automatic,fwd,sedan,ca,white
24990,2017.0,jaguar,21384.0,good,diesel,automatic,rwd,sedan,mi,unknown
19995,2011.0,ram,159693.0,good,gas,automatic,4wd,truck,in,brown
19488,2018.0,honda,13150.0,like new,gas,automatic,unknown,unknown,tx,unknown
47000,2017.0,ford,103000.0,excellent,diesel,automatic,unknown,unknown,tx,red
31990,2017.0,ram,35921.0,good,gas,other,unknown,pickup,al,white
33990,2019.0,jeep,7359.0,good,gas,other,4wd,other,nm,white
12000,2008.0,jeep,108000.0,good,gas,manual,4wd,SUV,ny,green
6500,2007.0,honda,137313.0,good,gas,automatic,4wd,SUV,ny,black
4295,2012.0,ford,95736.0,excellent,gas,manual,fwd,sedan,fl,blue
29995,2020.0,buick,5015.0,unknown,gas,automatic,fwd,unknown,tx,unknown
35995,2018.0,ford,11577.0,unknown,gas,automatic,4wd,SUV,mi,red
14150,2016.0,nissan,70853.0,unknown,gas,automatic,fwd,unknown,va,blue
25919,2020.0,toyota,31707.0,unknown,gas,automatic,fwd,SUV,tx,silver
2295,2001.0,toyota,246468.0,fair,gas,automatic,unknown,sedan,tx,white
41588,2017.0,ram,124999.0,unknown,diesel,automatic,4wd,other,ar,silver
21831,2016.0,audi,38561.0,unknown,hybrid,automatic,fwd,hatchback,ar,black
29990,2018.0,audi,24996.0,good,other,automatic,unknown,sedan,md,silver
7995,2004.0,lexus,84611.0,like new,gas,automatic,rwd,sedan,pa,black
12995,2017.0,honda,31444.0,excellent,gas,automatic,unknown,sedan,ny,white
15999,2018.0,hyundai,23165.0,unknown,gas,automatic,fwd,sedan,or,red
500,2015.0,mitsubishi,69000.0,like new,gas,automatic,fwd,SUV,az,red
17990,2015.0,ford,85507.0,excellent,gas,automatic,4wd,SUV,wi,red
6995,2007.0,ford,162281.0,good,gas,automatic,4wd,SUV,co,red
2800,2004.0,ford,180136.0,unknown,gas,automatic,4wd,SUV,md,black
8300,2013.0,ford,183757.0,like new,gas,automatic,unknown,unknown,fl,white
34988,2020.0,ram,8900.0,excellent,gas,automatic,fwd,unknown,ca,white
17995,2011.0,bmw,82365.0,like new,gas,automatic,4wd,SUV,ks,unknown
35590,2010.0,chevrolet,31879.0,good,gas,other,rwd,other,ga,red
7900,2015.0,nissan,109000.0,unknown,gas,automatic,unknown,unknown,fl,unknown
32500,2016.0,toyota,90150.0,excellent,gas,automatic,4wd,truck,ut,grey
23590,2018.0,mitsubishi,48933.0,good,other,other,4wd,other,ca,white
13500,2011.0,toyota,156300.0,excellent,gas,automatic,4wd,van,ma,white
21990,2014.0,bmw,50293.0,good,gas,other,unknown,coupe,wi,blue
946,2016.0,tesla,23945.0,excellent,gas,automatic,4wd,SUV,mt,unknown
7500,2005.0,toyota,181210.0,unknown,gas,automatic,unknown,SUV,ca,red
40000,2016.0,lexus,35000.0,unknown,gas,automatic,unknown,unknown,nv,unknown
33450,2017.0,jeep,87794.0,like new,gas,automatic,4wd,SUV,nh,white
49141,2020.0,jeep,565.0,unknown,gas,automatic,4wd,pickup,ga,unknown
19999,2014.0,lexus,63257.0,unknown,gas,automatic,fwd,sedan,oh,blue
9550,2012.0,chevrolet,58394.0,unknown,gas,automatic,fwd,sedan,pa,black
34590,2019.0,chevrolet,22722.0,good,gas,other,4wd,pickup,fl,brown
38590,2016.0,mercedes-benz,26862.0,good,gas,other,unknown,coupe,co,black
8295,2014.0,subaru,163896.0,unknown,gas,automatic,4wd,unknown,ny,unknown
2500,2006.0,ford,170000.0,fair,gas,automatic,4wd,truck,me,white
22990,2012.0,toyota,37725.0,good,gas,other,unknown,pickup,ca,white
5000,2005.0,cadillac,158736.0,unknown,gas,automatic,rwd,unknown,sc,unknown
9900,2010.0,lexus,169530.0,good,hybrid,automatic,fwd,sedan,ca,silver
9995,2007.0,cadillac,172000.0,like new,hybrid,automatic,4wd,SUV,oh,white
4100,2010.0,jeep,150000.0,unknown,gas,automatic,unknown,unknown,ma,unknown
3800,2001.0,volvo,211000.0,good,gas,automatic,unknown,hatchback,ca,unknown
10988,2014.0,chrysler,112679.0,unknown,gas,automatic,unknown,other,il,unknown
24990,2013.0,bmw,27287.0,good,gas,other,rwd,other,ma,black
38991,2018.0,ford,99034.0,unknown,gas,automatic,4wd,pickup,id,white
6985,2013.0,volkswagen,91500.0,good,gas,automatic,unknown,unknown,ct,unknown
8900,2014.0,dodge,102000.0,excellent,gas,automatic,fwd,mini-van,tx,brown
21589,2020.0,mitsubishi,16441.0,unknown,gas,other,4wd,unknown,mo,unknown
9000,2007.0,honda,106000.0,excellent,gas,automatic,unknown,unknown,ct,unknown
14988,2013.0,toyota,93420.0,unknown,other,other,unknown,unknown,co,unknown
10995,2013.0,ford,59520.0,unknown,hybrid,automatic,fwd,hatchback,nd,grey
6500,2008.0,ford,157000.0,good,gas,automatic,4wd,truck,ny,white
