sale_price_usd,age_at_sale,sale_year,product_group,product_size,enclosure,state
6500.0,8,2002,Skid Steer Loaders,unknown,OROPS,Maryland
19000.0,13,1998,Backhoe Loaders,unknown,OROPS,Florida
23500.0,17,2011,Wheel Loader,Compact,EROPS w AC,Tennessee
42000.0,4,2000,Track Type Tractors,unknown,OROPS,Texas
82000.0,2,1997,Track Excavators,Large / Medium,EROPS,Vermont
7500.0,11,2008,Skid Steer Loaders,unknown,OROPS,California
20500.0,2,2008,Track Excavators,Small,EROPS,Alabama
41000.0,7,2010,Track Type Tractors,Medium,OROPS,Mississippi
17500.0,18,2010,Track Excavators,Large / Medium,EROPS,Missouri
9000.0,16,2009,Backhoe Loaders,unknown,OROPS,Virginia
61000.0,5,2010,Track Excavators,Small,EROPS w AC,Tennessee
50000.0,6,2004,Track Type Tractors,Medium,OROPS,Texas
39000.0,3,2009,Backhoe Loaders,unknown,EROPS w AC,Colorado
10000.0,6,2011,Track Excavators,Mini,EROPS,Maryland
25000.0,3,2011,Track Excavators,Mini,EROPS,Missouri
9000.0,16,2010,Wheel Loader,unknown,EROPS,South Carolina
6500.0,9,2001,Skid Steer Loaders,unknown,OROPS,Texas
54000.0,6,2004,Wheel Loader,Medium,EROPS w AC,Florida
86000.0,3,1996,Wheel Loader,Medium,OROPS,California
44000.0,5,2002,Track Excavators,Large / Medium,EROPS w AC,Washington
18000.0,2,2007,Track Excavators,Mini,EROPS,North Carolina
42000.0,7,2001,Track Excavators,Small,EROPS,Washington
26000.0,8,2007,Backhoe Loaders,unknown,OROPS,Texas
32000.0,13,2004,Track Type Tractors,Medium,OROPS,Florida
15000.0,3,2010,Skid Steer Loaders,unknown,OROPS,Florida
32000.0,7,2008,Backhoe Loaders,unknown,OROPS,California
45000.0,32,2006,Motor Graders,unknown,OROPS,Florida
23000.0,4,2000,Backhoe Loaders,unknown,OROPS,Florida
26000.0,8,1999,Wheel Loader,unknown,EROPS,Texas
16500.0,12,2011,Backhoe Loaders,unknown,OROPS,Texas
14000.0,4,2009,Backhoe Loaders,unknown,OROPS,Arizona
15500.0,7,1993,Backhoe Loaders,unknown,OROPS,California
23500.0,7,2011,Backhoe Loaders,unknown,OROPS,Nevada
8500.0,6,2005,Skid Steer Loaders,unknown,OROPS,Texas
41000.0,7,2004,Track Excavators,Small,EROPS,Connecticut
20000.0,5,2001,Backhoe Loaders,unknown,OROPS,Alabama
67000.0,17,1993,Wheel Loader,Large,EROPS w AC,Montana
27500.0,12,2007,Track Excavators,Large / Medium,EROPS w AC,Maryland
34100.0,6,2011,Track Type Tractors,unknown,OROPS,Michigan
14500.0,18,2007,Backhoe Loaders,unknown,OROPS,Minnesota
90000.0,2,2007,Wheel Loader,unknown,EROPS w AC,California
4900.0,15,2011,Skid Steer Loaders,unknown,OROPS,Wisconsin
20000.0,29,2001,Wheel Loader,unknown,EROPS,Missouri
13500.0,6,2003,Backhoe Loaders,unknown,OROPS,North Carolina
24000.0,13,2007,Track Excavators,Large / Medium,EROPS w AC,Tennessee
29000.0,21,2011,Track Excavators,Large / Medium,EROPS w AC,North Carolina
40000.0,9,2006,Wheel Loader,unknown,OROPS,Texas
23000.0,8,2007,Backhoe Loaders,unknown,OROPS,New Mexico
34000.0,10,2010,Wheel Loader,Medium,EROPS w AC,Arkansas
76000.0,13,2009,Motor Graders,unknown,EROPS w AC,Arkansas
27500.0,6,2005,Backhoe Loaders,unknown,OROPS,Louisiana
82500.0,5,2005,Track Type Tractors,Medium,EROPS w AC,Texas
16500.0,17,2006,Track Type Tractors,Medium,OROPS,Maryland
21000.0,13,1992,Wheel Loader,unknown,OROPS,Florida
95000.0,9,2011,Motor Graders,unknown,EROPS w AC,Georgia
41000.0,9,2008,Wheel Loader,Medium,EROPS,Idaho
26500.0,10,2008,Track Type Tractors,Medium,OROPS,South Carolina
95000.0,3,2009,Track Type Tractors,Medium,EROPS w AC,Florida
16000.0,7,2011,Track Excavators,Mini,EROPS,North Carolina
8500.0,7,2005,Track Excavators,Mini,EROPS,Florida
10400.0,17,1990,Track Excavators,Large / Medium,EROPS,New Jersey
7500.0,19,1995,Backhoe Loaders,unknown,EROPS,Colorado
22000.0,5,2001,Backhoe Loaders,unknown,OROPS,Texas
58000.0,4,2009,Wheel Loader,Medium,EROPS w AC,New Jersey
55000.0,8,2007,Wheel Loader,Medium,EROPS w AC,South Carolina
40000.0,6,2011,Track Type Tractors,unknown,OROPS,New Jersey
42500.0,4,1997,Track Type Tractors,unknown,OROPS,Tennessee
9500.0,16,2002,Backhoe Loaders,unknown,EROPS,Ohio
19000.0,17,1997,Track Type Tractors,unknown,OROPS,Texas
60000.0,7,2008,Track Excavators,Large / Medium,EROPS w AC,Florida
13000.0,36,2002,Motor Graders,unknown,EROPS,Florida
72500.0,9,1991,Track Type Tractors,Large,OROPS,California
33000.0,6,2011,Track Excavators,Mini,EROPS w AC,Georgia
17750.0,5,1999,Backhoe Loaders,unknown,OROPS,Mississippi
21000.0,30,1995,Track Type Tractors,Large,OROPS,Utah
46000.0,21,2006,Motor Graders,unknown,EROPS w AC,South Carolina
34500.0,6,2007,Track Type Tractors,unknown,OROPS,Florida
79000.0,4,2009,Track Type Tractors,Medium,OROPS,Florida
70000.0,3,2009,Track Excavators,Small,EROPS w AC,New York
25000.0,21,2008,Track Type Tractors,unknown,OROPS,Florida
21500.0,3,2010,Track Excavators,Mini,EROPS,South Carolina
8500.0,8,2008,Skid Steer Loaders,unknown,OROPS,Ohio
36000.0,8,2010,Wheel Loader,Medium,EROPS,Missouri
82000.0,9,2001,Track Type Tractors,Large,EROPS w AC,Florida
25000.0,10,2000,Track Type Tractors,unknown,OROPS,South Carolina
23000.0,10,2011,Backhoe Loaders,unknown,EROPS,Texas
18500.0,28,2007,Motor Graders,unknown,EROPS,Texas
35000.0,4,2007,Track Type Tractors,unknown,OROPS,Georgia
8000.0,2,2006,Skid Steer Loaders,unknown,OROPS,California
50000.0,6,2008,Track Type Tractors,unknown,OROPS,Maryland
50000.0,6,2000,Wheel Loader,Medium,EROPS w AC,Illinois
70000.0,7,1994,Track Excavators,Large / Medium,EROPS,Texas
34000.0,6,2003,Wheel Loader,unknown,EROPS w AC,Florida
29000.0,4,2001,Backhoe Loaders,unknown,OROPS,North Carolina
66000.0,7,2010,Wheel Loader,Medium,EROPS w AC,Wisconsin
22500.0,12,2010,Backhoe Loaders,unknown,OROPS,Florida
21500.0,25,2004,Wheel Loader,Medium,EROPS,Missouri
11500.0,17,2005,Backhoe Loaders,unknown,OROPS,Washington
42500.0,12,2005,Track Excavators,Large / Medium,EROPS,Illinois
20500.0,5,2003,Backhoe Loaders,unknown,OROPS,North Carolina
10000.0,20,2006,Wheel Loader,Medium,EROPS,Illinois
17500.0,6,2002,Backhoe Loaders,unknown,EROPS,New York
20500.0,32,2009,Track Type Tractors,Large,OROPS,Ohio
19500.0,9,2008,Backhoe Loaders,unknown,OROPS,North Carolina
22000.0,20,2006,Motor Graders,unknown,EROPS,Georgia
33000.0,5,2005,Backhoe Loaders,unknown,OROPS,Texas
37000.0,11,1997,Track Type Tractors,unknown,EROPS,Ohio
15000.0,4,2010,Skid Steer Loaders,unknown,EROPS w AC,Missouri
24000.0,5,2001,Backhoe Loaders,unknown,EROPS w AC,Texas
29000.0,9,2010,Backhoe Loaders,unknown,EROPS w AC,Florida
80000.0,3,2008,Track Excavators,Large / Medium,EROPS w AC,California
7500.0,6,2003,Skid Steer Loaders,unknown,OROPS,Nevada
32500.0,11,2010,Wheel Loader,Compact,EROPS w AC,Florida
12500.0,5,2003,Backhoe Loaders,unknown,OROPS,Texas
12500.0,5,2002,Skid Steer Loaders,unknown,OROPS,Ohio
42000.0,11,1991,Track Excavators,Large / Medium,EROPS,Maryland
17500.0,4,2010,Skid Steer Loaders,unknown,OROPS,Colorado
26000.0,13,2007,Track Excavators,Small,EROPS,Maryland
32000.0,4,2008,Track Type Tractors,unknown,OROPS,Florida
100000.0,4,2010,Track Type Tractors,Medium,EROPS w AC,Texas
49000.0,11,2000,Motor Graders,unknown,EROPS,Indiana
23500.0,6,1992,Wheel Loader,unknown,EROPS,Mississippi
32500.0,5,2009,Track Type Tractors,Medium,OROPS,Texas
33000.0,29,2004,Motor Graders,unknown,OROPS,Alabama
67000.0,11,2008,Track Type Tractors,Medium,EROPS w AC,Texas
48000.0,7,2005,Track Excavators,Small,EROPS w AC,Mississippi
21000.0,5,2000,Backhoe Loaders,unknown,EROPS,New Hampshire
15000.0,9,2011,Backhoe Loaders,unknown,OROPS,Washington
21000.0,14,2010,Wheel Loader,Medium,EROPS,Connecticut
45000.0,5,2007,Track Type Tractors,unknown,EROPS w AC,Minnesota
12000.0,19,2008,Backhoe Loaders,unknown,EROPS,Washington
104000.0,3,2008,Track Excavators,Large / Medium,EROPS w AC,Georgia
30000.0,7,2006,Backhoe Loaders,unknown,OROPS,Florida
24500.0,5,2003,Backhoe Loaders,unknown,OROPS,Texas
15000.0,10,2003,Track Excavators,Mini,EROPS,Texas
19000.0,13,2005,Backhoe Loaders,unknown,OROPS,Florida
16000.0,5,2010,Track Excavators,Mini,EROPS,Texas
35000.0,18,2000,Motor Graders,unknown,EROPS,Idaho
62000.0,4,2008,Track Excavators,Large / Medium,EROPS w AC,Georgia
8500.0,6,2009,Skid Steer Loaders,unknown,OROPS,Georgia
7000.0,5,2003,Skid Steer Loaders,unknown,OROPS,Florida
59500.0,12,1997,Track Type Tractors,Large,OROPS,Pennsylvania
62500.0,12,2011,Track Excavators,Large / Medium,EROPS w AC,Florida
14000.0,17,2004,Track Type Tractors,unknown,OROPS,Texas
37500.0,8,1997,Wheel Loader,unknown,OROPS,Texas
11500.0,15,2004,Backhoe Loaders,unknown,OROPS,Georgia
65000.0,6,2010,Track Excavators,Large / Medium,EROPS w AC,Florida
28500.0,9,1999,Wheel Loader,unknown,EROPS,Delaware
29000.0,5,2010,Backhoe Loaders,unknown,OROPS,Florida
28000.0,7,2007,Backhoe Loaders,unknown,OROPS,California
55000.0,11,1989,Track Type Tractors,Large,EROPS,Ohio
21500.0,9,2006,Backhoe Loaders,unknown,EROPS w AC,Texas
11500.0,3,2000,Skid Steer Loaders,unknown,OROPS,Ohio
9100.0,6,2000,Skid Steer Loaders,unknown,OROPS,Pennsylvania
21000.0,10,1994,Track Type Tractors,Large,OROPS,Florida
14000.0,9,2000,Backhoe Loaders,unknown,OROPS,Florida
55000.0,11,1989,Motor Graders,unknown,EROPS,Wyoming
29500.0,6,2005,Backhoe Loaders,unknown,EROPS,Pennsylvania
11000.0,22,2005,Track Type Tractors,unknown,EROPS w AC,Texas
12000.0,16,2010,Track Excavators,Mini,EROPS,Washington
8100.0,19,2006,Skid Steer Loaders,unknown,OROPS,Tennessee
67500.0,7,1989,Motor Graders,unknown,EROPS,California
14000.0,10,1992,Track Excavators,Large / Medium,EROPS,California
101000.0,3,2008,Wheel Loader,Medium,EROPS w AC,North Carolina
9500.0,30,2003,Wheel Loader,Large,OROPS,New Hampshire
7500.0,9,2007,Skid Steer Loaders,unknown,OROPS,California
23000.0,14,2007,Backhoe Loaders,unknown,OROPS,Texas
14500.0,5,2007,Track Excavators,Mini,EROPS,Georgia
100000.0,10,2009,Motor Graders,unknown,EROPS w AC,Colorado
16000.0,14,2007,Backhoe Loaders,unknown,EROPS,Tennessee
26000.0,4,1999,Backhoe Loaders,unknown,EROPS,New York
37500.0,11,2008,Track Excavators,Small,EROPS w AC,Florida
15000.0,14,2003,Track Excavators,Small,EROPS,Unspecified
24000.0,7,2011,Backhoe Loaders,unknown,OROPS,North Carolina
67500.0,4,2011,Track Type Tractors,Medium,EROPS w AC,Virginia
9000.0,17,2003,Backhoe Loaders,unknown,OROPS,Tennessee
40000.0,13,1990,Track Type Tractors,Large,EROPS,Kentucky
6250.0,19,2009,Skid Steer Loaders,unknown,OROPS,Minnesota
105000.0,4,2009,Track Type Tractors,Medium,EROPS w AC,Texas
95000.0,5,2004,Track Excavators,Large / Medium,EROPS,Connecticut
29000.0,6,2008,Backhoe Loaders,unknown,EROPS,Texas
75000.0,3,2004,Track Type Tractors,Medium,OROPS,Florida
25000.0,12,2010,Track Excavators,Large / Medium,EROPS w AC,South Carolina
13500.0,27,2001,Wheel Loader,unknown,OROPS,Texas
105000.0,3,2001,Track Excavators,Large / Medium,EROPS w AC,Florida
9750.0,26,1992,Track Type Tractors,Large,OROPS,Mississippi
18500.0,4,1999,Backhoe Loaders,unknown,OROPS,Georgia
19000.0,15,2010,Track Type Tractors,Medium,OROPS,Michigan
19500.0,9,2002,Backhoe Loaders,unknown,EROPS,Pennsylvania
14500.0,13,2009,Track Excavators,Large / Medium,EROPS w AC,California
52500.0,6,2011,Track Excavators,Large / Medium,EROPS w AC,Illinois
6000.0,5,2008,Skid Steer Loaders,unknown,OROPS,Florida
53000.0,13,1995,Track Type Tractors,Large,OROPS,Tennessee
37000.0,7,1991,Track Excavators,Large / Medium,EROPS,Colorado
7500.0,4,2000,Skid Steer Loaders,unknown,OROPS,Georgia
14500.0,4,2007,Skid Steer Loaders,unknown,EROPS w AC,Florida
32000.0,13,2011,Wheel Loader,Medium,EROPS,Florida
12000.0,6,2010,Skid Steer Loaders,unknown,OROPS,Colorado
11000.0,13,2002,Backhoe Loaders,unknown,OROPS,Washington
14000.0,20,2007,Backhoe Loaders,unknown,EROPS,New Mexico
31000.0,2,2011,Wheel Loader,Compact,OROPS,Missouri
15500.0,8,2011,Wheel Loader,Compact,OROPS,Nevada
8500.0,5,2004,Skid Steer Loaders,unknown,OROPS,Arizona
10200.0,4,2002,Skid Steer Loaders,unknown,OROPS,Mississippi
52500.0,9,1996,Track Type Tractors,Large,OROPS,Florida
95000.0,12,2010,Track Type Tractors,Large,EROPS w AC,Kentucky
122500.0,3,2001,Track Type Tractors,Medium,EROPS w AC,Florida
34000.0,6,2008,Backhoe Loaders,unknown,EROPS,Illinois
13500.0,8,2005,Track Excavators,Mini,EROPS,Florida
19000.0,40,2005,Motor Graders,unknown,EROPS,California
20500.0,9,2004,Track Type Tractors,unknown,OROPS,Missouri
10000.0,8,2008,Skid Steer Loaders,unknown,OROPS,California
20000.0,11,1989,Wheel Loader,Medium,EROPS,Wyoming
13750.0,1,2001,Skid Steer Loaders,unknown,OROPS,New York
26000.0,11,2008,Backhoe Loaders,unknown,OROPS,Nebraska
15500.0,7,1996,Wheel Loader,Compact,EROPS,Florida
23000.0,5,1999,Track Excavators,Small,EROPS,Texas
10000.0,23,1990,Motor Graders,unknown,EROPS,Virginia
25000.0,9,2010,Backhoe Loaders,unknown,EROPS w AC,Missouri
19000.0,2,2005,Skid Steer Loaders,unknown,OROPS,Minnesota
15000.0,14,2001,Backhoe Loaders,unknown,OROPS,Minnesota
20000.0,6,2008,Track Excavators,Mini,EROPS,New Jersey
50000.0,25,2010,Motor Graders,unknown,EROPS w AC,Colorado
20500.0,28,2010,Track Excavators,Small,EROPS,California
29000.0,6,2003,Track Excavators,Large / Medium,EROPS w AC,Unspecified
92000.0,2,2005,Track Excavators,Small,EROPS,New York
62500.0,2,1993,Track Excavators,Small,EROPS,Georgia
16000.0,19,2008,Wheel Loader,unknown,OROPS,South Carolina
36000.0,18,1998,Motor Graders,unknown,EROPS,Kentucky
77000.0,5,1993,Track Type Tractors,Medium,OROPS,Maine
26000.0,4,2010,Backhoe Loaders,unknown,OROPS,Nevada
43000.0,12,1991,Motor Graders,unknown,EROPS,Maryland
27500.0,5,2005,Backhoe Loaders,unknown,EROPS w AC,Georgia
23500.0,13,2006,Track Type Tractors,unknown,OROPS,New York
60000.0,6,2000,Track Type Tractors,Medium,EROPS w AC,New Jersey
32500.0,6,2011,Track Excavators,Small,EROPS w AC,Texas
9000.0,17,2005,Backhoe Loaders,unknown,OROPS,Texas
26000.0,4,2002,Backhoe Loaders,unknown,OROPS,Texas
33000.0,11,2008,Track Excavators,Large / Medium,EROPS,Florida
8000.0,18,2004,Backhoe Loaders,unknown,OROPS,California
60000.0,4,1999,Wheel Loader,Medium,EROPS,Mississippi
71000.0,3,2006,Wheel Loader,unknown,EROPS w AC,Florida
74000.0,10,2009,Track Type Tractors,Medium,EROPS w AC,Maryland
23500.0,3,2009,Wheel Loader,Compact,EROPS w AC,South Carolina
16250.0,13,2007,Backhoe Loaders,unknown,OROPS,Alabama
8000.0,14,2010,Track Excavators,Mini,EROPS,Washington
140000.0,7,2008,Motor Graders,unknown,EROPS w AC,Arizona
12000.0,12,2011,Backhoe Loaders,unknown,OROPS,Idaho
